date,9432.T,9433.T,2914.T,3382.T
2021-02-17,0.24960585123216206,0.2505064388639242,0.2509641203215096,0.24892358958240415
2021-02-18,0.24768971479519544,0.2452748212787115,0.25078180147282486,0.24428408107158908
2021-02-19,0.2513435351167655,0.24945701059490547,0.2484513441885616,0.24169607143879981
2021-02-22,0.2510288499096179,0.24850258832673494,0.2501651365574407,0.24318299136320312
2021-02-24,0.25031598322523885,0.24735771498393483,0.2492241231297046,0.2474353826531357
2021-02-25,0.2507979445421964,0.24818205574397695,0.2519205115376938,0.24438936855524857
2021-02-26,0.2543153216282293,0.2462873423043901,0.2540288578630881,0.24154114074403624
2021-03-01,0.25619045470615714,0.24226796814165696,0.25061964150270316,0.24810864466913796
2021-03-02,0.2576797392123238,0.2435891551794313,0.2513749863119307,0.24499269338644875
2021-03-03,0.25546652928058877,0.2427779158353228,0.2502959261562331,0.24959291852199805
2021-03-04,0.2533898762965271,0.24188135913907266,0.25173627320264674,0.25111306712347026
2021-03-05,0.2531064700851324,0.24206879122435035,0.25189348084050317,0.25108078826411706
2021-03-08,0.2499379810452534,0.24440602770015046,0.2538637762665513,0.24996457955120022
2021-03-09,0.2476922549482045,0.24143912242597812,0.25488764887421916,0.2541873000501354
2021-03-10,0.24886631992908104,0.24742071052713316,0.25345570967487857,0.24848026071147433
2021-03-11,0.24968461288812768,0.2480120315050651,0.2530155140516372,0.24749580939341065
2021-03-12,0.2503209989262118,0.24767189322444705,0.2535638132810583,0.24665937847445643
2021-03-15,0.24878364531547173,0.24720976281500665,0.2525315282918427,0.24971020201010777
2021-03-16,0.24906076749634978,0.24836905888771538,0.25257424320894334,0.24824965817721092
2021-03-17,0.2517924444936483,0.24568760692694866,0.25373852919275547,0.24703389707418638
2021-03-18,0.2525864293279373,0.2469568477033976,0.2563957659181336,0.24406095705053155
2021-03-19,0.2511256203177625,0.24119849952754663,0.25821046299457695,0.2413367138437792
2021-03-22,0.2545375843127524,0.2409754502321808,0.25835883944977855,0.23988500196598153
2021-03-23,0.2565115768747113,0.24114783524789643,0.25571384407966474,0.2418366173686525
2021-03-24,0.0,0.0,0.0,0.0
2021-03-25,0.0,0.0,0.0,0.0
2021-03-26,0.0,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0,0.0
2021-03-30,0.0,0.0,0.0,0.0
2021-03-31,0.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,0.0
2021-04-02,0.0,0.0,0.0,0.0
2021-04-05,0.0,0.0,0.0,0.0
2021-04-06,0.0,0.0,0.0,0.0
2021-04-07,0.0,0.0,0.0,0.0
2021-04-08,0.0,0.0,0.0,0.0
2021-04-09,0.0,0.0,0.0,0.0
2021-04-12,0.0,0.0,0.0,0.0
2021-04-13,0.0,0.0,0.0,0.0
2021-04-14,0.0,0.0,0.0,0.0
2021-04-15,0.2503660081554959,0.25055770446341785,0.2516992944762581,0.24737699290482815
2021-04-16,0.25263799492652994,0.2478665161048338,0.2529573503052932,0.23689905297961691
2021-04-19,0.2517240949896957,0.2472016315721026,0.25683567947967956,0.23699956351224755
2021-04-20,0.0,0.0,0.0,0.0
2021-04-21,0.0,0.0,0.0,0.0
2021-04-22,0.0,0.0,0.0,0.0
2021-04-23,0.0,0.0,0.0,0.0
2021-04-26,0.0,0.0,0.0,0.0
2021-04-27,0.0,0.0,0.0,0.0
2021-04-28,0.0,0.0,0.0,0.0
2021-04-30,0.0,0.0,0.0,0.0
2021-05-06,0.0,0.0,0.0,0.0
2021-05-07,0.0,0.0,0.0,0.0
2021-05-10,0.0,0.0,0.0,0.0
2021-05-11,0.0,0.0,0.0,0.0
2021-05-12,0.0,0.0,0.0,0.0
2021-05-13,0.0,0.0,0.0,0.0
2021-05-14,0.0,0.0,0.0,0.0
2021-05-17,0.0,0.0,0.0,0.0
2021-05-18,0.0,0.0,0.0,0.0
2021-05-19,0.0,0.0,0.0,0.0
2021-05-20,0.0,0.0,0.0,0.0
2021-05-21,0.0,0.0,0.0,0.0
2021-05-24,0.0,0.0,0.0,0.0
2021-05-25,0.0,0.0,0.0,0.0
2021-05-26,0.0,0.0,0.0,0.0
2021-05-27,0.0,0.0,0.0,0.0
2021-05-28,0.0,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,0.0
2021-06-02,0.0,0.0,0.0,0.0
2021-06-03,0.0,0.0,0.0,0.0
2021-06-04,0.0,0.0,0.0,0.0
2021-06-07,0.0,0.0,0.0,0.0
2021-06-08,0.0,0.0,0.0,0.0
2021-06-09,0.0,0.0,0.0,0.0
2021-06-10,0.0,0.0,0.0,0.0
2021-06-11,0.0,0.0,0.0,0.0
2021-06-14,0.0,0.0,0.0,0.0
2021-06-15,0.0,0.0,0.0,0.0
2021-06-16,0.2503403929887433,0.2508694295257603,0.2510225323893371,0.24776764509615945
2021-06-17,0.25066278160274447,0.24495000458378963,0.2475507007191144,0.24268111450683003
2021-06-18,0.25364851467156313,0.24193218096463634,0.2491378733897933,0.2445140256576253
2021-06-21,0.0,0.0,0.0,0.0
2021-06-22,0.0,0.0,0.0,0.0
2021-06-23,0.0,0.0,0.0,0.0
2021-06-24,0.0,0.0,0.0,0.0
2021-06-25,0.0,0.0,0.0,0.0
2021-06-28,0.0,0.0,0.0,0.0
2021-06-29,0.0,0.0,0.0,0.0
2021-06-30,0.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,0.0
2021-07-02,0.0,0.0,0.0,0.0
2021-07-05,0.0,0.0,0.0,0.0
2021-07-06,0.0,0.0,0.0,0.0
2021-07-07,0.0,0.0,0.0,0.0
2021-07-08,0.0,0.0,0.0,0.0
2021-07-09,0.0,0.0,0.0,0.0
2021-07-12,0.0,0.0,0.0,0.0
2021-07-13,0.0,0.0,0.0,0.0
2021-07-14,0.0,0.0,0.0,0.0
2021-07-15,0.0,0.0,0.0,0.0
2021-07-16,0.0,0.0,0.0,0.0
2021-07-19,0.0,0.0,0.0,0.0
2021-07-20,0.0,0.0,0.0,0.0
2021-07-21,0.0,0.0,0.0,0.0
2021-07-26,0.0,0.0,0.0,0.0
2021-07-27,0.0,0.0,0.0,0.0
2021-07-28,0.0,0.0,0.0,0.0
2021-07-29,0.0,0.0,0.0,0.0
2021-07-30,0.0,0.0,0.0,0.0
2021-08-02,0.0,0.0,0.0,0.0
2021-08-03,0.0,0.0,0.0,0.0
2021-08-04,0.0,0.0,0.0,0.0
2021-08-05,0.0,0.0,0.0,0.0
2021-08-06,0.0,0.0,0.0,0.0
2021-08-10,0.0,0.0,0.0,0.0
2021-08-11,0.0,0.0,0.0,0.0
2021-08-12,0.0,0.0,0.0,0.0
2021-08-13,0.0,0.0,0.0,0.0
2021-08-16,0.0,0.0,0.0,0.0
2021-08-17,0.0,0.0,0.0,0.0
2021-08-18,0.0,0.0,0.0,0.0
2021-08-19,0.0,0.0,0.0,0.0
2021-08-20,0.0,0.0,0.0,0.0
2021-08-23,0.0,0.0,0.0,0.0
2021-08-24,0.0,0.0,0.0,0.0
2021-08-25,0.0,0.0,0.0,0.0
2021-08-26,0.0,0.0,0.0,0.0
2021-08-27,0.0,0.0,0.0,0.0
2021-08-30,0.0,0.0,0.0,0.0
2021-08-31,0.0,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,0.0
2021-09-02,0.0,0.0,0.0,0.0
2021-09-03,0.0,0.0,0.0,0.0
2021-09-06,0.0,0.0,0.0,0.0
2021-09-07,0.0,0.0,0.0,0.0
2021-09-08,0.0,0.0,0.0,0.0
2021-09-09,0.0,0.0,0.0,0.0
2021-09-10,0.0,0.0,0.0,0.0
2021-09-13,0.24958818903275473,0.24905341150056537,0.2523132529257893,0.24904514654089066
2021-09-14,0.2491171586226764,0.25268514445098766,0.24897323638723362,0.2388396397805209
2021-09-15,0.249077586353544,0.25569888573474947,0.24671145760700394,0.24042095197078506
2021-09-16,0.2503240976663589,0.25050262533877027,0.24792718101267772,0.2448652580889874
2021-09-17,0.25443479103356725,0.25305970542698,0.2463970425554747,0.2408676586364073
2021-09-21,0.25504727890469375,0.25124878407260304,0.24797814027779985,0.24155995656136062
2021-09-22,0.25368996679888456,0.25001043720073074,0.2485526003036637,0.24412724211209647
2021-09-24,0.25508494048012204,0.25161836131621806,0.24743419330503544,0.24285654867206136
2021-09-27,0.25359996163680854,0.25057400839835153,0.2490887806942017,0.24428538355843696
2021-09-28,0.25492440016903445,0.2516242072609283,0.2505826097601603,0.24097845196985945
2021-09-29,0.25389744627800814,0.25359925250160414,0.2500871308984099,0.2405135414154484
2021-09-30,0.2524364327760527,0.2509216703630544,0.25302880145842027,0.2416999530447583
2021-10-01,0.2563230405764339,0.24931648444234433,0.25380198529204845,0.23862404367861087
2021-10-04,0.2567872025393805,0.2503848861960807,0.252251567716151,0.23864214032688366
2021-10-05,0.0,0.0,0.0,0.0
2021-10-06,0.0,0.0,0.0,0.0
2021-10-07,0.0,0.0,0.0,0.0
2021-10-08,0.0,0.0,0.0,0.0
2021-10-11,0.0,0.0,0.0,0.0
2021-10-12,0.0,0.0,0.0,0.0
2021-10-13,0.0,0.0,0.0,0.0
2021-10-14,0.0,0.0,0.0,0.0
2021-10-15,0.0,0.0,0.0,0.0
2021-10-18,0.0,0.0,0.0,0.0
2021-10-19,0.0,0.0,0.0,0.0
2021-10-20,0.0,0.0,0.0,0.0
2021-10-21,0.0,0.0,0.0,0.0
2021-10-22,0.0,0.0,0.0,0.0
2021-10-25,0.0,0.0,0.0,0.0
2021-10-26,0.0,0.0,0.0,0.0
2021-10-27,0.0,0.0,0.0,0.0
2021-10-28,0.0,0.0,0.0,0.0
2021-10-29,0.0,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0,0.0
2021-11-02,0.0,0.0,0.0,0.0
2021-11-04,0.0,0.0,0.0,0.0
2021-11-05,0.0,0.0,0.0,0.0
2021-11-08,0.0,0.0,0.0,0.0
2021-11-09,0.0,0.0,0.0,0.0
2021-11-10,0.0,0.0,0.0,0.0
2021-11-11,0.24874894705393846,0.2527289506742548,0.2487641876796578,0.24975791459214886
2021-11-12,0.250690658315808,0.2493132520385105,0.24177524787811708,0.24586773522424213
2021-11-15,0.2538897235160634,0.24981781835312397,0.24139533059830343,0.2455168930791572
2021-11-16,0.25474937315612095,0.2498719876861641,0.2421213143748563,0.24628854180438747
2021-11-17,0.2566923910674166,0.24969138471664884,0.24342095740537814,0.24493048850984714
2021-11-18,0.25874597559972945,0.25330268517516336,0.24443873600734142,0.23938573031864133
2021-11-19,0.2572640945998606,0.25312696624778813,0.24367581901353608,0.24239541389477723
