symbol,target_weight
8306.T,0.01094394301127259
7011.T,0.009570643650406151
6501.T,0.009979646945248884
7203.T,0.0112651489110867
1605.T,0.011254181453566457
7267.T,0.01102289470925673
6702.T,0.011337400095142895
8001.T,0.011237201963635585
4568.T,0.011926414318710039
9107.T,0.011996061587600153
6752.T,0.01051566701880431
9432.T,0.012546100669157753
9433.T,0.01245747253360808
4901.T,0.011470217754035608
7269.T,0.010714019162275224
8591.T,0.01142372164262208
8725.T,0.011698745421234818
4503.T,0.01203264351369389
8801.T,0.011420000373038912
4661.T,0.012786565578371371
8802.T,0.010810500296988086
6723.T,0.011117002539653278
8604.T,0.011211170723565492
3382.T,0.012256185359355071
7270.T,0.011496310384913567
7751.T,0.011825170827028244
9201.T,0.01184069476775852
9434.T,0.012592532046667647
2503.T,0.012586074682840192
6758.T,0.010071694857556952
9202.T,0.012520493533847219
6988.T,0.01085973040585677
7733.T,0.011153663683749086
5411.T,0.011579793731786728
9020.T,0.012200610944227797
8830.T,0.011899899646785565
7832.T,0.011937131316286013
6506.T,0.010218856440648526
3659.T,0.011719189594698911
8697.T,0.011720247681237486
6326.T,0.012053842733841132
9503.T,0.011246329462123807
2502.T,0.012487053291876746
9502.T,0.011582276402999548
5401.T,0.011834223759184826
9501.T,0.009491589922075968
4755.T,0.011644188476582065
5020.T,0.011965958556768927
7201.T,0.011011286920744693
8267.T,0.012467606695582868
